date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:39	217487/217487	---MCZ	200	added ('OK')	text/html	etag:W/%2265f28af6-3518f%22	https://freshcart.codescandy.com/pages/index-5.html	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/pages/index-5.html	(from )
13:20:40	50/50	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Jun%202024%2020:20:33%20GMT	https://freshcart.codescandy.com/robots.txt		(from )
13:20:42	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-882%22	https://freshcart.codescandy.com/assets/libs/tiny-slider/dist/tiny-slider.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/libs/tiny-slider/dist/tiny-slider.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:42	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-6f0%22	https://freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:43	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-c49%22	https://freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick-theme.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/libs/slick-carousel/slick/slick-theme.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:43	85875/85875	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-14f73%22	https://freshcart.codescandy.com/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:44	13695/13695	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-357f%22	https://freshcart.codescandy.com/assets/libs/feather-webfont/dist/feather-icons.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/libs/feather-webfont/dist/feather-icons.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:44	3269/3269	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-cc5%22	https://freshcart.codescandy.com/assets/libs/simplebar/dist/simplebar.min.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/libs/simplebar/dist/simplebar.min.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:46	481379/481379	---MCZ	200	added ('OK')	text/css	etag:W/%2265f28af6-75863%22	https://freshcart.codescandy.com/assets/css/theme.min.css	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/assets/css/theme.min.css	(from https://freshcart.codescandy.com/pages/index-5.html)
13:20:46	71949/71949	---MCZ	200	added ('OK')	text/html	etag:W/%2265f28af6-1190d%22	https://freshcart.codescandy.com/pages/account-orders.html	C:/Users/Tahir-PC/Desktop/freshcart/freshcart.codescandy.com/pages/account-orders.html	(from https://freshcart.codescandy.com/pages/index-5.html)
